Text,Depressed
Managed to get more food in me yesterday   need the extra calories And felt I ate enough for a change But have to be extra careful of food budget 1,0
Im worried I should see a therapist due to past events and current mental status  Im   so unsure of how to ask my doctor about seeing someone ,0
I was a victim of an incident  Ive been made fun of and have been beating myself up for it because I dont feel anyone honestly believes me  There are so many other factors I deal with on a daily basis  I ignore my problems when Im with my friends  but its scary when Im alone ,0
Im a teenage girl  and I feel very   about my weight  I dont know how to make it stop ,0
I dont know whats wrong with me  At times I can be   happy  excited  Ill talk fast  and I want to do things  But lately Ive been staying up way later and sleeping too much  I dont hang out with friends  I dont   have them  I feel nothing  worthless  I want to do nothing  I have no interest in anything     All I usually do is stay in my room  I want to be happy  I want to be nice  Whats wrong with me,1
I started having  three months ago  Im new to having   and its making me,0
"We kissed and he grab my boobs and we exchanged some texts and a few calls  It went on for about 8 months    when we were all together and our spouses were out of the room  Once I met him for lunch to tell him that we needed to stop  We ended up kissing after lunch and then I sent him a few more texts that day telling him I was serious and that was the end of it  His wife (my good friend) saw us kiss once and told my husband  I told him a couple of things then and we got over it 
A year later she told him a couple of other things  Same story  Its been about 3 years since  They are now divorced and my husband and I have been happy  A few weeks ago the wife called me and said that her now ex told her more stuff we did  I decided to   tell my husband everything  We are trying to work things out  But he is having a   hard time believing that he knows all of it  How can I help him believe me",0
Often times I find myself thinking scary thoughts and sometimes  I even scare myself into thinking that something   is going to happen to me  Once it starts  the thought continues going through my head and I cant get it out   How can I stop these thoughts,0
My ex-wife married and used me to have a child  She now uses that child as a pawn  I know my child misses me  but I need to move on and not live in the past  How do I do this Do I see my child as much as possible or very little Is it more confusing for the child,0
"I have a relative who is in his twenties   He was in a  rehabilitat program and got kicked out for using  again  No one informed family that he was using  again   He subsequently overdosed and was found dead 
Is their accountability of counselors  therapists or the halfway house for not reporting that he had relapsed Is there a legal case for failing to report",0
  wondering if this is a deviant act  and if I should be concerned for him  He isnt quite 10 ,0
After he got home from the hospital he was angry  then for a time wonderful  Now he is  and hopeless again ,1
Shes busy because her mom makes her clean all the time and go out places with her family  We dont talk much because of it  Also  we have little fights  We want to work it out but we dont know how ,0
I went to my ex-  to reach out to one of his high school friends whos attempted to commit   When I went to him to reach out to his high school friend  he told me that I put him in a terrible posit and put an enormous load on his shoulders  He was very angry that I went to him to do that  Am I in the wrong for going to him to reach out He helped me so much with my  and   habits  so thats why I thought of him to reach out  He made me feel awful for thinking highly of him to help  Why did he react this way towards me I think hes being selfish ,1
I get an uncontrollable swallowing that is repetitive and then somewhat out of body feeling that lasts no more than a minute or two  It usually happens in  at night  but I occasally experience this during the day  I have a benign brain tumor  but the doctor said it is not associated with this ,0
I have been married for 11 years  Within the past 2 years we have drifted far apart  We coexist together but there is very little personal interest in each other  I often feel that my husband has friends at work that he is more emotal invested in than me  I feel very alone and   uncared for   Is there anything I can do to feel reconnected,0
After first meeting the client  what is the process that a counselor facilitates,0
"My daughter seemed to be developing at a normal rate until about the age of 10  She then started to act younger than she is  

Now she only wants to play with younger kids and she doesnt act her age  I dont know why this is happening  Is this normal",0
My grandma had a stroke and passed away recently  I lost my home and job  Im looking but havent found a job  Ive been binge watching televis and binge eating ,0
How can I help my toddler with toilet training when he gags every time he sees his poop,0
My husband took a job out of state for the next year and seems to be a different person  Before  he worked and slept  and on off days  hed stay home because he didnt want to do anything else  Now hes going out with friends several nights a week while Im still home working a 50 hours a week job and taking care of two kids by myself  Hes suddenly saying he misses me and wants me to be his adored wife  but the whole time  Im remembering how Ive been emotally starving for the last five years ,0
"Ive been bullied for years and the teachers have done nothing about it  I havent been  with   but i have been extremely  for years 

How can I deal with being bullied at school when the teachers wont help",0
My husband and I are separated  He says he needs some time apart  He says he needs to get back the “in love” part of a relatship but doesnt want to lose me  Should I wait or start over new,0
My life is completely normal  yet I feel empty inside  I feel as if I already know why Im alive  to reproduce and die ,1
My   and I have been going out for about a year  I suddenly find myself jealous when I see him talking to other girls  I have never been this way before  I dont   these feelings  He said that my jealousy would cause our relatship to have problems  I told him I cant help these feelings  I dont know where they are coming from  but this is how I feel  I tried to stop  but I cant  I     this guy  but Im afraid that Im messing up the relatship  Its   stupid ,0
She said she needed space after three days of    and she got a   a week later  I still   miss her  and she told me she still  s me ,0
I am a survivor of multiple ual abuse/rape experiences  Triggers are having an effect on my daily life and my ual relatship with my partner  Im trying to learn to cope with them ,0
positivity is always forced  something has to happen in order to feel that way  It isnt the default state of a human being,1
"My fiance and I come from a strong Christian background but both went off the straight and narrow once before  He is having a hard time accepting my past  especially  that Im not a virgin  He has a hard time in general accepting himself and others  

His insecurities are  ing our relatship  How can I help him let go of my past and decide to live in the present",0
"My wife and I are newly married  about 2 months  Weve had some issues surrounding   particularly her lack of libido  Shes on an  medicat  of which diminished libido is a side effect  but I think our issue is also partly one of a lack of intimacy/romance centered around my hectic schedule  Our  life has suffered as a result 
Tonight she made a genuine effort to let me know she wanted   which is a big deal  Once things started  she had the most obviously fake orgasm Ive ever encountered  I was honest with her about why  and told her that the most important thing to me in  was knowing that she was legitimately enjoying it  She responded angrily with a complete denial of the faking  I dont know how to broach this subject and have an honest conversat  I think she will continue to lie to me about faking it which will cause our  life to spiral further  Please help ",0
"I have an ex-  who   lies about everything  He is super lazy  He lies to everyone that he has a good job  builds trust  and then start borrowing money—and large amounts too  It has come to the point where he has gone through several group of friends  He is leaving a trail behind full of friends in debt because he would put on a sob story  borrow money  then disappear  He refuses to work  so he sits at home playing games all day and either lies to his mom for money or lies to his friends  I used to think his lying was due to his  habit  but now Im hearing from other ex-friends of his that this started even before the  got into his life  He would borrow anywhere from $5 000 to $50 000 from everyone and it would all disappear  Hes in debt with bills  He doesnt gamble  but he spends his money on random stuff 

Although he has this habit of lying compulsively and spending money  he seems to be a good person  Hell always give a homeless person all his change no matter what  My brother has epilepsy and is   antisocial—my ex-  makes an actual effort to socialize with my brother  He takes him out to the movies and plays video games with him  He drives me to school and work every day and picks me up—  basically the small things that add up to the fact that hes not totally a horrible human being  Is he   simple a pathological liar or is there something that could possibly be deep down in there",0
I have no self control over food  Most people stop when theyve had enough  but I keep eating for the pleasure of it  Especially with sweets - Im never done eating dessert ,0
I feel as though Im suffering severe abandonment issues stemming from childhood  I convince myself Im not worthy of happiness  and Im always afraid Im doing something wrong  Its as if I create little scenarios in my mind  and I start to believe them ,0
I feel   I would be more comfortable as a girl even though I still   girls  I think Im   a girl stuck in a guy body  I imagine myself as a girl too  I think this more because my friends say that if I was a girl I would be a hot looking one  And I dont care about having boobs or anything  I   feel   the way that I do act will make more sense if I was a girl ,0
My mother takes care of niece whom my sister abandoned  She calls me every day complaining  but I dont want to hear it anymore ,0
Ive been in a relatship for over a year  Hes cheated and lied  I heard hes married  but he says hes not  Everything is very up and down theres no trust  Recently  he went on a trip  and I promised him Id behave and not  because when I   I  too much  and I tend to make poor choices  This time  I made a huge mistake  I drank too much  and I cheated on him  I slept with another man for about five minutes before realizing what I was doing is wrong  I told him and he   got   rude  He called me names and threatened me  I feel   as I do love him  We   have so many issues  Im not a   person  Ive   made a lot of   mistakes  Its unintental  and I know right from wrong  but why do I still make the wrong choice,0
My stepdad and I always mess around  Ive noticed that whenever he playfully hits me  its always my butt that he hits  He always comments on my ouits and always scans me head to toe when I walk into a room  Im a teenager female  and I want to know if this is normal ,0
I know Im ruining my life with a lot of the deciss I make   I consistently tell myself I need to make some serious changes in my life  but I   cant seem to even though I   want to  Why cant I force myself to change,0
Im 7 and Im sick and tired of going back and forth  Id   to stay at my mothers house  This problem has   affected me  Ive had  attacks and suicidal thoughts and self-harm in the past     Currently Im going through  and my thearapist is not available  How do I handle this,0
Its been   a couple of years that Ive been feeling   this  I dont want to self-diagnose  but I get so  and cry and then I feel better  But then I get upset with people so quickly  and I   their feelings  Its this constant rollercoaster  and its hard ,0
"Im dealing with imposter syndrome in graduate school   I know that by all accounts I am a phenomenal graduate student  and that I am well-published   I am well  d by students and faculty a    And yet I cannot shake the feeling that Im going to be found out as a fraud  

How can I get over this feeling",0
Im   a guy I   love  We have our problems  but I could see myself with him long term  But theres this other guy who Ive had feelings for for awhile now  He gives me butterflies when we talk  and my heart beats fast when I see hes texted me  which i never felt with my current   ,0
Im starting to think that I might have   The thing is though  Im not exactly   I can  with my friends and stuff  but Ive stopped caring about my work  and Ive been starting to think that life is pointless  I   have no clue if I need help  or if Im   tired or something ,1
My husband and I have been together since high school  We have been married going on for nearly ten years  and we have three beautiful children  A few weeks ago  my husband decided he need some time apart and moved over to his dads for a while  He comes home to see the kids and acts   there is not too much wrong  Can this marriage be saved or is it too late He said he would go to counseling  so I dont think he has given up ,0
I was married to a narcissist sociopath for 0 years  During that time I was a general manager  I used to help him financially and in other ways when we were together  But things began to change  He emotally and ually drained me  I lost my spirit  I used to be a very happy person but now I am a loner  I left him and moved to another state  Currently  Im working as a server which makes me believe less in myself  I feel pity for myself a lot but dont know what to do  When I have money problems  he does not help me  He actually enjoys seeing me have a hard time in my life  I need help ,1
In the past year  two of my best and only close friends moved to different states  Now I have nobody to hang out with  Im always alone  and I honestly havent hung out with anyone since they left  Im super lonely  What should I do to make new friends Because they moved and I have no friends now  I think Im falling into a  or something  I   need help ,1
I dont know whats with me  Im almost constantly angry  Even when Im happy  I still feel anger inside me  When I acknowledge it  it ruins my mood and takes over  I get angry at the littlest things  Even if I think someone said something they didnt  it infuriates me  Something perfectly normal can make me go off  When my anger flares up  I get a terrible pain in my chest that lasts for a while  Its   there is a fire constantly burning in my body  and anger is gasoline ,0
I have bipolar II disorder  Im addicted to alcohol and   and Im hopeless  I keep even though its harming myself and others ,0
I cooked a real meal  It took way too much time and effort for how flavorless it was  It tool forever to clean up and I got no help 1,0
Im going through a majorly   divorce and my wife is making things so impossible for me  I need help ,0
Im dealing with an illness that will never go away and I feel   my life will never change for the better  I feel alone and that i have no one     How can I overcome this pain and learn to be happy alone,1
My fiance and I recently had an argument over finances  He gives me the money each month to pay his automobile insurance  He no longer has one of the vehicles on the policy  He realized he was still paying for the coverage and asked why I was allowing him to continue to do that since I was physically paying it for him  My response was that he was giving me the money  and I   made the payment  I didnt think of the coverages  He was angry about it  I still cant figure out that anger ,0
My   recently got a kitty  I hate cats in general  and he knows it  It grosses me out and makes me very upset when he pets his cat  I want to throw out the cat  I feel very jealous ,0
My wife is always accusing me of cheating and telling me that Im doing things she finds disrespecul even when I dont mean it   that  For example  she gets offended when I call someone at work sweetheart   I wish I had a penny for every time she accused me of cheating on her   She doesnt  and never will say she was wrong  How do I get her to understand,0
I feel  even though I act   a happy with my family  I act   Im happy so my son doesnt see me   I act   my life is a happy life  but I feel  and   I sometimes think of killing myself and that my family deserve someone better than me  I   cry and write in my book all these feelings ,1
My   remains friends with ex  s/lovers on Facebook who actively   and comment on posts  It causes me to get jealous because Im afraid they might reconnect somehow  Ive attempted to talk to her about it  but she avoids it and doesnt seem to worry about how I feel about it ,0
He wants to wear makeup and heels  He even tucks his penis away to resemble a vagina  He wants me to wear a strap on and have anal  with him  I have tried this for him  but I dont   it and have told him so  He keeps making comments about it and says he cant live without it ,0
My daughter is in later elementary school  She cant color in the lines  Her words jumble together when she writes unless there are big spaces or she skips lines ,0
It was over 20 years ago  but the pain has resurfaced again now because I have started seeing her Facebook posts about how great her life is  I feel so angry  How can I handle this,0
Ive become so jaded that I cant control my thoughts  I cannot focus on anything and been having  attacks ,1
I am going through a very hard time and Im so   My parents are getting a divorce and a lot of   things are happening  I want to lull myself ,1
"A few years ago I was making love to my wife when for no known reason I lost my erect  

Now Im In my early 30s and my problem has become more and more frequent   This is causing major problems for my ego and its diminishing my self esteem  This has resulted in ongoing  and tearing apart my marriage  

I am devastated and cannot find a cause for these issues  I am very attracted to my wife and want to express it in the room   I used to  

What could be causing this  and what can I do about it",0
I started having  three months ago  Im new to having   and its making me  ,1
My toddler is having a real hard time with toilet training  He almost throws up every time he sees his poop  He gags and will not go on the toilet  We have tried a toilet chair and ring that goes on the big-boy toilet  but he refuses to use it  When he sits on the toilet  he   sits there forever and only will pee  He holds the poop in until he get up and then will poop in his diaper  I dump his diaper in the toilet and let him know that it is where it goes to try to encourage him  How can I help him get over this fear and passed the stress,0
I didnt trust my wife when I found out that she had a new guy friend that she was texting and calling  I investigated him before I found out that he was gay and that there was nothing going on  Now all my wife and I do is fight about trust ,0
I keep feeling paralyzed and unsure during interviews  Previous jobs have fired me for lack of performance  and five employers have rejected me after extensive personality tests and interviews  Im afraid of continuing because my  is getting worse  Im already humiliated working for temp agencies and doubt my self-worth as a provider for my family ,1
Im in a state of  right now  Who can I talk to Ive been sick in a lot of pain and crying  Dont know where to turn ,1
I spent my whole life taking care of my dad  but left because of his verbally abusive behavior  I was the only one that helped with his health issues  I feel if I hadnt left he might still be alive  I need help dealing with my grief and guilty conscience ,0
My dad is always  and I mean always  cussing and screaming at me for no reason at all  He makes me feel stupid  He also compares me to my other siblings in a negative way and demeans me  Is this abuse,0
Im currently   someone else and I     him  But I love and miss my ex so much  What do I do,1
I am on my own with my daughter  I am so worried and stressed about her ,1
I was hanging out with my close guy friend  We started kissing  but afterwards  he said that we should   stay friends because he doesnt want to ruin anything  We both   got out of relatships  His was very ual  Im not a ual person  and he knows that  I want to be with him  but Im not ready for another relatship  and I dont know if he ever will want to be more than friends ,0
I try to do everything right   so we wont argue  and it doesnt help the only time he is calm is when he is alcohol  I get  over having fights with him ,0
My dad beat and mentally abused me so  ly that I cant funct properly  Letting go of the past is important to moving on and getting better  but Im terrified to get better because I dont even know who I am without the trauma  Ive never gotten to be myself  I dont even know who I am ,0
Ive felt this way for  two years  I feel so much better now then I did when it started  but it is still there in the back of my mind at all times ,0
I found messages between my   and this girl on social media  He was asking her for naked pictures and then hung out with her once  but nothing happened  I didnt find out about the messages until last month and that was six months after it happened  I cant trust him anymore and Im   wondering if I ever will  He admitted that he wanted to have  with her but he didnt  He was only talking with her because he thought we were going to have a break up  My heart is completely broken  I feel   Im in competit with every girl on the planet for my  s affect  Im afraid that he doesnt   me anymore  but without me hes homeless and without a car  I love him so much  Its been tearing me apart  I dont feel pretty anymore though  I dont feel good enough for anyone or anything  I thought I knew him as well as I knew myself  Then all of a sudden my world was flipped upside down  Im still trying to figure out which way is up ,0
I dont have time to live or take care of myself at times  Its causing   stress  and   I dont know what to do ,1
I keep hearing I am attractive from people around me  and I think I believe it  But I have low confidence regarding approaching girls I   ,0
I was raped by multiple men  and now I cant stand the sight of myself  I wear lingerie to get my self excited enough to have  with my wife ,0
I love him  but he doesnt show me love  He talks  ly about me to his friends ,0
My mother is combative with me when I say I dont want to talk with her about my      She hasnt been supportive of me in the past and she isnt someone that I feel comfortable opening up to  She constantly tries to instigate conversats where she asks me quests that I dont want to or cant answer  I tell her I dont want to talk and she starts arguments with me     How can I get her to understand,1
I have major   severe  PTSD   disorder  and personality disorder  I had an appointment with my doctor  I was very upset  and I shared with him about that particular  ,0
"I have high functing autism and I have been on a lot of   sites   meet me  match  and zoosk  I havent had any luck on any of the   sites I have been on 

 I   want a   but I dont know what I should do  I   want to be in a relatship  How can I meet someone",0
My husband and I are separated and he doesnt even want to talk to me     He says he doesnt love me anymore  but I would do anything to get him back  Is there any hope,0
I have bipolar disorder  paranoid personality disorder  posttraumatic stress disorder   and obsessive-compulsive disorder  I last self-harmed a week ago  When I am stressed  overwhelmed     or angry  the urge to self-harm is all I can think of  I am trying to seek help ,1
For the past year  I have been feeling pressured to do well in school  and it put a ton of stress on me  I have been bullied for five years  and for some reason  it is now sinking in  and I cant stop it  For some other reason  I cant find a hobby I can see myself doing without thinking   about myself ,0
Im dealing with imposter syndrome in graduate school  I know that by all accounts I am a phenomenal graduate student  and that I am well-published  I am well  d by students and faculty a   And yet I cannot shake the feeling that Im going to be found out as a fraud     How can I get over this feeling,0
I have been in a relatship with my   for about six years now  In the past  our relatship was difficult and frustrating  We argued a lot  and due to that  there was a lot of tens between us  We stayed together because we love each other and wanted to make it work  I used to party a lot  and several times I got into situats where I would end up kissing someone else  These situats were never more than   kissing  I have come clean about these situats with my    and he decided to forgive and move forward with me  I love him so much and want to work things out too  but Im having a difficult time understanding how he can forgive me  I cant seem to forgive myself  Im overwhelmed with feelings of guilt and unworthiness ,0
Im   I have been for years  I hide it from everyone because Im  of the reacts Ill get  Last time I tried telling my parents  it was a huge argument about me being too young to be  (Im a legal adult)  calling me ungrateful  and telling me that if I cant handle things now  its only going to get worse in the future (which is turning out to be true)  Its exhausting pretending to be okay  and I dont know how much longer I can try  Im     tired  and ly  I cant afford the help I need on my own ,1
Im in my late 20s  and Ive never had a   or even been on a    I have no friends  I hate Facebook because everyone else has kids and a great husband and great paying jobs  I work in retail  and I cant find a job  I have an Associate degree  No one is not giving me a chance  and Im getting upset and frustrated  I feel worthless and feel   everyone hates me  I feel   a failure  and I still live with my Dad  Its very embarrassing ,0
My     quit and she became     She told me that she wants to move  What can I do to help her I want her to stay ,1
"I am in my early 20s and I still live with my parents because I cant afford to live alone 

My mother says that if I live under her roof I have to follow her rules  She is trying to control my life  What should I do",0
"My fiance and I have been together for 3 years and our relatship has always been good  The only issue we had was that he felt   he wasnt getting enough ual attent from me  

I recently found out he cheated on me with another women   He says he wants his family back but Im confused on what to do   Is it possible for us to get past the cheating  or should I   move on",0
I am   worried about one of my friends because I think he has major   He disagrees with me on that  He is shut off when it comes to talking to people and telling them how he      He told me he   empty inside and the only emots he   are anger and ness  I suggested to him to get help and talk to his mom about it but he refuses ,1
"I want a secure relatship with someone that wants to be with me and who will actually put effort into it 
I seem to gravitate toward unavailable men and those that want intimacy and no relatship  I let men dictate and control me because they accuse me of being controlling  I let men emotally abuse me and I am at their beck and call 
I am not comfortable being alone or doing anything by myself  I feel I need the security of someone being around   to survive  I know what Im doing wrong and I do it anyway   hoping things will change  How do I stop this behavior and thought process",0
Going on the treadmill made me relieve stress and made me feel relaxed 1,0
I had a slow morning of work because I work for myself I was feeling a little nervous that I wouldnt make very much I told myself I need to push on  and I ended up hitting my daily goal and going over I felt very proud of myself for persevering 1,0
My     quit drinking and she became   She told me that she wants to move  What can I do to help her I want her to stay ,1
"A few years ago I was making love to my wife when for no known reason I lost my erect  

Now Im In my early 30s and my problem has become more and more frequent   This is causing major problems for my ego and its diminishing my self esteem  This has resulted in ongoing  and tearing apart my marriage  

I am devastated and cannot find a cause for these issues  I am very attracted to my wife and want to express it in the room   I used to  

What could be causing this  and what can I do about it",1
Im in my early 20s  Ive been married once  and he cheated on me  Ever since then  Ive felt ugly no matter what  Im engaged  and I still feel ugly  I dont   to take pictures of myself ,0
My dad makes me feel    and   Im worthless   He calls me names and makes me feel  I want to move out because I swear if I stay here  Im going to lose it  What can I do,0
"Im always listening to my husband  but it     he never listens to me  

How do I get my husband to listen to me instead of me listening to him all the time",0
I used to be the  guy of the group—the class clown  if you will  I used to laugh uncontrollably all the time and be able to be social without it feeling awkward  Now I cant laugh at all  and Im dead inside ,1
"I have a child with my baby mother  She works I take care of our young son  She says she is not cheating I have not found anything but she always putting me down  telling me to get out and telling me she doesnt love me  but then the next day after our fight she says she does  Im having a hard time because before our child she said she was raped by a family member but she never went to the hospital or the cops  Now me and my family dont talk  Shes always telling me Im annoying and   belittles me  Nothing I do is right 

She says I work you watch the baby  On her days off she never cooks or cleans  I have no friends or family and a couple months ago she was confiding to some guy  but says hes not any thing to her  What do I do I dont want to leave ",0
"I feel that I need to end my present relatship  He lives three hours away and  s the reassurance of having someone to talk to multiple times per day and seeing me once or twice a month   I want someone who is more present and more of a life compan 
Lately  he has had a very busy work schedule and I have only seen him a few times in the last 6 weeks  I told him that I cant continue in this way because I constantly feel frustrated and angry and that he is not making the relatship enough of a priority  I also feel it is keeping me from possibly finding the relatship I want 
We have been together 7 years  The problem is that I panic and experience  and  thinking of him with someone else and then thinking I will never meet someone I    We have gone through this cycle already 4-5 times and I feel it is unhealthy to stay in it  but my avers to the  and  I experience upon separat always leads me to reconcile ",0
